timestamps,open,high,low,close,volume,amount
2024-01-01,10.0,10.0,10.0,10.0,45.0,450.0
2024-01-02,10.100342830602248,10.100342830602248,10.100342830602248,10.100342830602248,55.0,555.5188556831237
2024-01-03,10.073422528024057,10.073422528024057,10.073422528024057,10.073422528024057,47.0,473.45085881713067
2024-01-04,10.204918676493788,10.204918676493788,10.204918676493788,10.204918676493788,47.0,479.63117779520803
2024-01-05,10.516787084891757,10.516787084891757,10.516787084891757,10.516787084891757,59.0,620.4904380086136
2024-01-06,10.468587939856763,10.468587939856763,10.468587939856763,10.468587939856763,55.0,575.7723366921219
2024-01-07,10.42061313217489,10.42061313217489,10.42061313217489,10.42061313217489,50.0,521.0306566087445
2024-01-08,10.75078250956361,10.75078250956361,10.75078250956361,10.75078250956361,46.0,494.53599543992607
2024-01-09,10.916868065082742,10.916868065082742,10.916868065082742,10.916868065082742,48.0,524.0096671239717
2024-01-10,10.815455953265497,10.815455953265497,10.815455953265497,10.815455953265497,61.0,659.7428131491953
2024-01-11,10.933898183928939,10.933898183928939,10.933898183928939,10.933898183928939,66.0,721.63728013931
2024-01-12,10.833652336350477,10.833652336350477,10.833652336350477,10.833652336350477,53.0,574.1835738265753
2024-01-13,10.733824616926626,10.733824616926626,10.733824616926626,10.733824616926626,45.0,483.0221077616982
2024-01-14,10.786841611126377,10.786841611126377,10.786841611126377,10.786841611126377,54.0,582.4894470008244
2024-01-15,10.375155276151073,10.375155276151073,10.375155276151073,10.375155276151073,39.0,404.6310557698919
2024-01-16,10.018266984660194,10.018266984660194,10.018266984660194,10.018266984660194,35.0,350.6393444631068
2024-01-17,9.90660587955704,9.90660587955704,9.90660587955704,9.90660587955704,49.0,485.4236880982949
2024-01-18,9.706922165510928,9.706922165510928,9.706922165510928,9.706922165510928,47.0,456.2253417790136
2024-01-19,9.768900345691915,9.768900345691915,9.768900345691915,9.768900345691915,41.0,400.5249141733685
2024-01-20,9.59246930162137,9.59246930162137,9.59246930162137,9.59246930162137,52.0,498.8084036843112
2024-01-21,9.32247895055903,9.32247895055903,9.32247895055903,9.32247895055903,38.0,354.2542001212432
2024-01-22,9.596680794397766,9.596680794397766,9.596680794397766,9.596680794397766,54.0,518.2207628974794
2024-01-23,9.55430640074302,9.55430640074302,9.55430640074302,9.55430640074302,47.0,449.0524008349219
2024-01-24,9.568165534548704,9.568165534548704,9.568165534548704,9.568165534548704,47.0,449.7037801237891
2024-01-25,9.296477821287393,9.296477821287393,9.296477821287393,9.296477821287393,56.0,520.602757992094
2024-01-26,9.196190630572714,9.196190630572714,9.196190630572714,9.196190630572714,48.0,441.41715026749023
2024-01-27,9.217511555239946,9.217511555239946,9.217511555239946,9.217511555239946,40.0,368.70046220959784
2024-01-28,9.00624737439753,9.00624737439753,9.00624737439753,9.00624737439753,35.0,315.2186581039135
2024-01-29,9.074820584960811,9.074820584960811,9.074820584960811,9.074820584960811,40.0,362.99282339843245
2024-01-30,8.966714300071326,8.966714300071326,8.966714300071326,8.966714300071326,55.0,493.16928650392293
